plot,FT,subunit,tree,stem,family,spp,WD,D,H
192,FOM,S,98,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.51,2.0
192,FOM,N,98,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,2.0
192,FOM,N,99,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,S,99,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,2.5
192,FOM,N,100,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,2.0
192,FOM,S,100,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.60,4.0
192,FOM,S,101,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,4.0
192,FOM,N,101,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.42,1.5
192,FOM,N,102,1,Clethraceae,Clethra uleana,375.8,14.01,4.0
192,FOM,S,102,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.60,4.0
192,FOM,N,103,1,Clethraceae,Clethra uleana,375.8,17.19,4.0
192,FOM,S,103,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,3.0
192,FOM,S,104,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,4.0
192,FOM,N,104,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,2.0
192,FOM,S,105,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,4.0
192,FOM,N,105,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,2.0
192,FOM,S,106,1,Cunoniaceae,Weinmannia humilis,474.1,13.69,4.0
192,FOM,N,106,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.8
192,FOM,N,107,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,2.0
192,FOM,S,107,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,3.0
192,FOM,S,108,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,3.0
192,FOM,N,108,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.78,1.5
192,FOM,S,109,1,Araucariaceae,Araucaria angustifolia,480.0,43.29,10.0
192,FOM,N,109,1,Winteraceae,Drimys angustifolia,377.1,11.14,3.0
192,FOM,S,110,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,4.0
192,FOM,N,110,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,1.5
192,FOM,N,111,1,Winteraceae,Drimys angustifolia,377.1,19.10,4.0
192,FOM,S,111,1,Clethraceae,Clethra uleana,375.8,17.83,5.0
192,FOM,N,112,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.19,1.5
192,FOM,N,113,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,1.5
192,FOM,S,113,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,3.0
192,FOM,S,114,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,114,1,Winteraceae,Drimys angustifolia,377.1,13.69,3.0
192,FOM,N,114,2,Winteraceae,Drimys angustifolia,377.1,14.01,3.0
192,FOM,S,115,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,3.0
192,FOM,N,115,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.83,3.0
192,FOM,N,116,1,Dicksoniaceae,Dicksonia sellowiana,0.0,16.55,2.0
192,FOM,S,116,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.55,3.0
192,FOM,S,117,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,4.0
192,FOM,N,117,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.46,2.0
192,FOM,N,118,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.19,2.0
192,FOM,N,119,1,Clethraceae,Clethra uleana,375.8,11.46,3.6
192,FOM,N,120,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,2.0
192,FOM,N,121,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,3.0
192,FOM,N,122,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,3.0
192,FOM,N,123,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,4.0
192,FOM,N,124,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.01,2.0
192,FOM,N,125,1,Dicksoniaceae,Dicksonia sellowiana,0.0,15.28,2.0
192,FOM,N,126,1,Clethraceae,Clethra uleana,375.8,11.14,4.0
192,FOM,N,127,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,5.0
192,FOM,N,128,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,3.0
192,FOM,N,129,1,Primulaceae,Myrsine coriacea,513.6,30.56,6.0
192,FOM,N,130,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,N,131,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,3.0
192,FOM,N,132,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,N,133,1,Cardiopteridaceae,Citronella paniculata,704.5,10.19,6.0
192,FOM,N,134,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.5
192,FOM,N,135,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.01,2.0
192,FOM,N,136,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,4.0
192,FOM,N,137,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,2.0
192,FOM,N,138,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,1.5
192,FOM,N,139,1,Lauraceae,Aiouea amoena,466.2,11.78,4.0
192,FOM,N,139,2,Lauraceae,Aiouea amoena,466.2,14.32,4.0
192,FOM,N,140,1,Primulaceae,Myrsine coriacea,513.6,19.10,5.0
192,FOM,N,141,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,4.0
192,FOM,N,142,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.5
192,FOM,N,143,1,Clethraceae,Clethra uleana,375.8,14.96,9.0
192,FOM,N,144,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,3.0
192,FOM,N,145,1,Primulaceae,Myrsine coriacea,513.6,27.69,5.0
192,FOM,N,146,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.19,2.0
192,FOM,N,147,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,2.0
192,FOM,N,148,1,Winteraceae,Drimys angustifolia,377.1,21.33,5.0
192,FOM,N,149,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,4.0
192,FOM,N,150,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.78,1.5
192,FOM,N,150,2,Dicksoniaceae,Dicksonia sellowiana,0.0,17.83,1.6
192,FOM,N,151,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.51,2.0
192,FOM,N,152,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.19,2.0
192,FOM,N,153,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.24,4.0
192,FOM,N,154,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,2.0
192,FOM,N,155,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,2.0
192,FOM,N,156,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,1.5
192,FOM,N,157,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,4.0
192,FOM,N,158,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.19,1.5
192,FOM,N,159,1,Clethraceae,Clethra uleana,375.8,12.73,4.0
192,FOM,N,160,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,2.0
192,FOM,N,161,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.42,1.7
192,FOM,N,162,1,Cunoniaceae,Weinmannia humilis,474.1,12.10,5.0
192,FOM,N,163,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,3.0
192,FOM,N,164,1,Clethraceae,Clethra uleana,375.8,22.60,7.0
192,FOM,N,165,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.55,4.0
192,FOM,N,166,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,2.0
192,FOM,N,167,1,Clethraceae,Clethra uleana,375.8,15.60,5.0
192,FOM,N,168,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,3.0
192,FOM,N,169,1,morta,morta,0.0,22.60,3.0
192,FOM,N,170,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.46,2.0
192,FOM,N,171,1,Winteraceae,Drimys angustifolia,377.1,18.14,7.0
192,FOM,N,172,1,Dicksoniaceae,Dicksonia sellowiana,0.0,33.74,4.0
192,FOM,N,173,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,4.0
192,FOM,N,174,1,Winteraceae,Drimys angustifolia,377.1,24.19,4.0
192,FOM,N,175,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,2.0
192,FOM,N,176,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,5.0
192,FOM,N,177,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,3.0
192,FOM,N,178,1,Clethraceae,Clethra uleana,375.8,18.78,6.0
192,FOM,N,179,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,1.5
192,FOM,N,180,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,3.0
192,FOM,N,181,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,4.0
192,FOM,N,182,1,Winteraceae,Drimys angustifolia,377.1,20.05,4.0
192,FOM,N,183,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,2.5
192,FOM,N,184,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,1.5
192,FOM,N,185,1,Dicksoniaceae,Dicksonia sellowiana,0.0,39.79,3.0
192,FOM,N,186,1,Clethraceae,Clethra uleana,375.8,10.82,4.0
192,FOM,N,187,1,morta,morta,0.0,14.64,4.0
192,FOM,N,188,1,Winteraceae,Drimys angustifolia,377.1,20.37,5.0
192,FOM,N,189,1,morta,morta,0.0,10.82,5.0
192,FOM,N,190,1,Winteraceae,Drimys angustifolia,377.1,15.28,7.0
192,FOM,N,191,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,192,1,Winteraceae,Drimys angustifolia,377.1,36.61,5.0
192,FOM,N,193,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,1.5
192,FOM,N,194,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,1.5
192,FOM,N,195,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,1.5
192,FOM,N,196,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,2.0
192,FOM,N,197,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,2.0
192,FOM,N,198,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.5
192,FOM,N,199,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,N,200,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,3.0
192,FOM,L,1,1,Dicksoniaceae,Dicksonia sellowiana,0.0,45.20,2.0
192,FOM,O,1,1,Clethraceae,Clethra uleana,375.8,13.69,3.0
192,FOM,L,2,1,Winteraceae,Drimys angustifolia,377.1,25.15,5.0
192,FOM,O,2,1,Fabaceae,Mimosa scabrella,607.4,21.65,5.0
192,FOM,L,2,2,Winteraceae,Drimys angustifolia,377.1,29.28,5.0
192,FOM,O,3,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.65,3.0
192,FOM,L,3,1,morta,morta,0.0,29.60,2.0
192,FOM,O,4,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,2.0
192,FOM,L,4,1,Winteraceae,Drimys angustifolia,377.1,21.65,6.0
192,FOM,L,5,1,Winteraceae,Drimys angustifolia,377.1,20.69,6.0
192,FOM,O,5,1,Winteraceae,Drimys angustifolia,377.1,21.01,6.0
192,FOM,L,6,1,Winteraceae,Drimys angustifolia,377.1,14.01,6.0
192,FOM,O,6,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,2.0
192,FOM,O,7,1,Dicksoniaceae,Dicksonia sellowiana,0.0,33.10,3.0
192,FOM,L,7,1,Winteraceae,Drimys angustifolia,377.1,17.83,6.0
192,FOM,L,8,1,Winteraceae,Drimys angustifolia,377.1,21.96,5.0
192,FOM,O,8,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,L,8,2,Winteraceae,Drimys angustifolia,377.1,24.19,5.0
192,FOM,L,9,1,Winteraceae,Drimys angustifolia,377.1,14.01,7.0
192,FOM,O,9,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,O,10,1,Dicksoniaceae,Dicksonia sellowiana,0.0,36.29,3.0
192,FOM,L,10,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,2.0
192,FOM,L,11,1,Winteraceae,Drimys angustifolia,377.1,21.33,5.0
192,FOM,O,11,1,Winteraceae,Drimys angustifolia,377.1,26.42,7.0
192,FOM,L,12,1,Winteraceae,Drimys angustifolia,377.1,17.83,6.0
192,FOM,O,12,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,3.0
192,FOM,L,13,1,Clethraceae,Clethra uleana,375.8,13.05,7.0
192,FOM,O,13,1,Dicksoniaceae,Dicksonia sellowiana,0.0,16.23,1.5
192,FOM,O,14,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,3.0
192,FOM,L,14,1,Dicksoniaceae,Dicksonia sellowiana,0.0,16.55,3.0
192,FOM,O,14,2,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,L,15,1,Winteraceae,Drimys angustifolia,377.1,22.60,4.0
192,FOM,O,15,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.19,5.0
192,FOM,O,16,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.60,4.0
192,FOM,L,16,1,Winteraceae,Drimys angustifolia,377.1,20.69,5.0
192,FOM,O,17,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,3.0
192,FOM,L,17,1,Winteraceae,Drimys angustifolia,377.1,21.65,5.0
192,FOM,L,18,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.5
192,FOM,O,18,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,3.0
192,FOM,L,19,1,Clethraceae,Clethra uleana,375.8,10.50,5.0
192,FOM,O,19,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,2.0
192,FOM,O,20,1,Winteraceae,Drimys angustifolia,377.1,31.19,6.0
192,FOM,L,20,1,Clethraceae,Clethra uleana,375.8,17.19,6.0
192,FOM,O,21,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,6.0
192,FOM,L,21,1,Araucariaceae,Araucaria angustifolia,480.0,45.52,28.0
192,FOM,L,22,1,Winteraceae,Drimys angustifolia,377.1,19.74,5.0
192,FOM,O,22,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,2.0
192,FOM,O,23,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.74,3.0
192,FOM,L,23,1,Winteraceae,Drimys angustifolia,377.1,16.55,5.0
192,FOM,O,24,1,Lauraceae,Aiouea amoena,466.2,28.65,10.0
192,FOM,L,24,1,Winteraceae,Drimys angustifolia,377.1,19.74,5.0
192,FOM,L,25,1,Winteraceae,Drimys angustifolia,377.1,22.28,5.0
192,FOM,O,25,1,Dicksoniaceae,Dicksonia sellowiana,0.0,16.55,1.5
192,FOM,L,25,2,Winteraceae,Drimys angustifolia,377.1,17.83,5.0
192,FOM,O,26,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,4.0
192,FOM,L,26,1,Winteraceae,Drimys angustifolia,377.1,16.87,7.0
192,FOM,L,27,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,O,27,1,Araucariaceae,Araucaria angustifolia,480.0,17.83,5.0
192,FOM,L,28,1,Winteraceae,Drimys angustifolia,377.1,25.78,5.0
192,FOM,O,28,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,2.5
192,FOM,L,29,1,Winteraceae,Drimys angustifolia,377.1,27.37,5.0
192,FOM,O,29,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,2.0
192,FOM,O,30,1,Araucariaceae,Araucaria angustifolia,480.0,13.05,3.0
192,FOM,L,30,1,Winteraceae,Drimys angustifolia,377.1,15.60,7.0
192,FOM,O,31,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,2.0
192,FOM,L,31,1,Winteraceae,Drimys angustifolia,377.1,12.10,4.0
192,FOM,O,32,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,3.0
192,FOM,L,32,1,Winteraceae,Drimys angustifolia,377.1,17.83,7.0
192,FOM,O,33,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,3.0
192,FOM,L,33,1,Winteraceae,Drimys angustifolia,377.1,14.01,5.0
192,FOM,L,33,2,Winteraceae,Drimys angustifolia,377.1,18.46,5.0
192,FOM,O,34,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,3.0
192,FOM,L,34,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.01,2.0
192,FOM,L,35,1,Winteraceae,Drimys angustifolia,377.1,14.64,5.0
192,FOM,O,35,1,Winteraceae,Drimys angustifolia,377.1,23.24,5.0
192,FOM,O,35,2,Winteraceae,Drimys angustifolia,377.1,26.10,5.0
